id,p,a1,a2
," Bruce defeats Johnny, earning the respect of the audience"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight"," After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet"
," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight"," After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet"," Bruce and Krieger also create the idea for the television series Kung Fu, agreeing that Bruce will feature in the lead role"
," After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet"," Bruce and Krieger also create the idea for the television series Kung Fu, agreeing that Bruce will feature in the lead role"," At a cast party, Linda says she is pregnant with their second child, Shannon"
," Bruce and Krieger also create the idea for the television series Kung Fu, agreeing that Bruce will feature in the lead role"," At a cast party, Linda says she is pregnant with their second child, Shannon"," Shortly afterwards, the cancellation of The Green Hornet is announced"
," At a cast party, Linda says she is pregnant with their second child, Shannon"," Shortly afterwards, the cancellation of The Green Hornet is announced"," Kung Fu later makes it to television but much to Bruce's frustration, it stars the white actor David Carradine"
," Shortly afterwards, the cancellation of The Green Hornet is announced"," Kung Fu later makes it to television but much to Bruce's frustration, it stars the white actor David Carradine", Bruce believes Krieger has betrayed him
," Kung Fu later makes it to television but much to Bruce's frustration, it stars the white actor David Carradine", Bruce believes Krieger has betrayed him,Bruce returns to Hong Kong for his father's funeral
, Bruce believes Krieger has betrayed him,Bruce returns to Hong Kong for his father's funeral," Philip Tan, a Hong Kong film producer, hires Bruce to star in the film The Big Boss"
,Bruce returns to Hong Kong for his father's funeral," Philip Tan, a Hong Kong film producer, hires Bruce to star in the film The Big Boss"," During the filming of the final scene, Johnny's brother Luke attacks Bruce in revenge for Johnny's humiliating defeat and subsequent disability; Bruce wins the fight"
," Philip Tan, a Hong Kong film producer, hires Bruce to star in the film The Big Boss"," During the filming of the final scene, Johnny's brother Luke attacks Bruce in revenge for Johnny's humiliating defeat and subsequent disability; Bruce wins the fight"," The Big Boss is a success and Bruce makes several more films, working as an actor, director and editor"
," During the filming of the final scene, Johnny's brother Luke attacks Bruce in revenge for Johnny's humiliating defeat and subsequent disability; Bruce wins the fight"," The Big Boss is a success and Bruce makes several more films, working as an actor, director and editor"," This causes a rift between Bruce and Linda, as Linda wishes to return to the US"
," The Big Boss is a success and Bruce makes several more films, working as an actor, director and editor"," This causes a rift between Bruce and Linda, as Linda wishes to return to the US"," Krieger offers Bruce a chance to work on a big-budget Hollywood film, to which Bruce agrees, partly due to Linda's wish to return home"
," This causes a rift between Bruce and Linda, as Linda wishes to return to the US"," Krieger offers Bruce a chance to work on a big-budget Hollywood film, to which Bruce agrees, partly due to Linda's wish to return home","On the 32nd day of filming Enter the Dragon, during the ""room of mirrors"" sequence, Bruce has a terrifying vision of the Demon that has haunted his and his father's dreams"
," Krieger offers Bruce a chance to work on a big-budget Hollywood film, to which Bruce agrees, partly due to Linda's wish to return home","On the 32nd day of filming Enter the Dragon, during the ""room of mirrors"" sequence, Bruce has a terrifying vision of the Demon that has haunted his and his father's dreams"," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him"
,"On the 32nd day of filming Enter the Dragon, during the ""room of mirrors"" sequence, Bruce has a terrifying vision of the Demon that has haunted his and his father's dreams"," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him"," The Demon pursues Brandon, spurring Bruce to fight back, save Brandon and break the Demon's neck"
," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him"," The Demon pursues Brandon, spurring Bruce to fight back, save Brandon and break the Demon's neck"," Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star"
," The Demon pursues Brandon, spurring Bruce to fight back, save Brandon and break the Demon's neck"," Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star"," In a voice-over, Linda tells the audience Bruce fell into a mysterious coma and died shortly before the film's release, and says while many people want to talk about how he died, she prefers to remember how he lived"
