Id: 1, Sentence: My body cast a shadow over the grass. The sun was rising. it was cut., Option1: the grass, Option2: the grass, Answer: the grass
Id: 35, Sentence: The pond froze over for the winter. People brought boats to the pond. People skated on it., Option1: the pond, Option2: the pond, Answer: the pond
Id: 36, Sentence: The pond froze over for the winter. People brought boats to the pond. it skated on the pond., Option1: people, Option2: people, Answer: people
Id: 37, Sentence: The frozen pond thawed in the spring. People brought boats to the pond. People skated on it., Option1: the pond, Option2: the pond, Answer: the pond
Id: 38, Sentence: The offender violated parole. She was sent back to jail. She stole it from a church., Option1: money, Option2: money, Answer: money
Id: 39, Sentence: The offender was poor. She was sent back to jail. She stole money from it., Option1: a church, Option2: a church, Answer: a church
Id: 40, Sentence: I poured water on my sleeping friend. My friend awoke. it snored., Option1: my friend, Option2: my friend, Answer: my friend
Id: 41, Sentence: I made my friend very tired. it awoke. My friend snored., Option1: my friend, Option2: my friend, Answer: my friend
Id: 42, Sentence: I made my friend very tired. My friend awoke. it snored., Option1: my friend, Option2: my friend, Answer: my friend
Id: 43, Sentence: I made my friend very tired. My friend awoke. it snored., Option1: my friend, Option2: my friend, Answer: my friend
Id: 44, Sentence: The girl gasped. Her friend stuck an ice cube down her back. it friend gave it a pat on the back., Option1: her, Option2: her, Answer: her
Id: 45, Sentence: The girl smiled. Her friend stuck an ice cube down her back. it gave her a pat on the back., Option1: her friend, Option2: her friend, Answer: her friend
Id: 46, Sentence: The shirt shrunk. I put it in the dryer. I poured it on it., Option1: bleach, Option2: bleach, Answer: bleach
Id: 47, Sentence: The shirt became clean. I poured bleach on it. it put itt itn the dryer., Option1: i, Option2: i, Answer: i
Id: 48, Sentence: It got dark outside. Snowflakes began to fall from the sky. The moon became visible in it., Option1: the sky, Option2: the sky, Answer: the sky
Id: 49, Sentence: It got cold outside. Snowflakes began to fall from the sky. it became visible in the sky., Option1: the moon, Option2: the moon, Answer: the moon
Id: 50, Sentence: I hung up the phone. The caller said goodbye to me. it identified himself to me., Option1: the caller, Option2: the caller, Answer: the caller
Id: 51, Sentence: I recognized the caller. it identified himself to me. The caller said goodbye to me., Option1: the caller, Option2: the caller, Answer: the caller
Id: 52, Sentence: I recognized the caller. The caller identified himself to me. it said goodbye to me., Option1: the caller, Option2: the caller, Answer: the caller
Id: 53, Sentence: I recognized the caller. The caller identified himself to me. The caller said it to me., Option1: goodbye, Option2: goodbye, Answer: goodbye
Id: 54, Sentence: The woman's ring slipped off in the shower. The woman polished the ring. it went down the drain., Option1: the ring, Option2: the ring, Answer: the ring
Id: 55, Sentence: The woman's ring got dirty. The ring went down the drain. The woman polished it., Option1: the ring, Option2: the ring, Answer: the ring
Id: 56, Sentence: The girl received a trophy. She won a spelling bee. it made a new friend., Option1: she, Option2: she, Answer: she
Id: 57, Sentence: The girl was not lonely anymore. She made a new friend. it won a spelling bee., Option1: she, Option2: she, Answer: she
Id: 58, Sentence: The woman's date wanted to look like a gentleman. He opened the door for her. it asked itr if sit liked sushi., Option1: he, Option2: he, Answer: he
Id: 59, Sentence: The woman's date wanted to have Japanese cuisine. He asked her if she liked sushi. He opened it for her., Option1: the door, Option2: the door, Answer: the door
Id: 60, Sentence: The host cancelled the party. She worried she would catch the flu. it was certain it had the flu., Option1: she, Option2: she, Answer: she
Id: 61, Sentence: The woman got vaccinated. She was certain she had the flu. She worried she would catch it., Option1: the flu, Option2: the flu, Answer: the flu
Id: 62, Sentence: The woman gave the man her phone number. She was attracted to him. She was repulsed by it., Option1: him, Option2: him, Answer: him
Id: 63, Sentence: The woman ignored the man. She was attracted to him. She was repulsed by it., Option1: him, Option2: him, Answer: him
Id: 64, Sentence: The skydiver glided safely to the ground. She opened her parachute. it jumped out of the plane., Option1: she, Option2: she, Answer: she
Id: 65, Sentence: The skydiver started to fall down. She opened her parachute. She jumped out of it., Option1: the plane, Option2: the plane, Answer: the plane
Id: 66, Sentence: The toddler became cranky. Her mother fixed her hair into pigtails. it put her down for a nap., Option1: her mother, Option2: her mother, Answer: her mother
Id: 67, Sentence: The toddler joined a baby pageant. Her mother fixed her hair into pigtails. it put her down for a nap., Option1: her mother, Option2: her mother, Answer: her mother
Id: 68, Sentence: The child became immune to the disease. it received tit vaccine for tit disease. He avoided exposure to the disease., Option1: he, Option2: he, Answer: he
Id: 69, Sentence: The child became immune to the disease. He received the vaccine for the disease. He avoided exposure to it., Option1: the disease, Option2: the disease, Answer: the disease
Id: 70, Sentence: The child became immune to the disease. He received the vaccine for the disease. He avoided it to the disease., Option1: exposure, Option2: exposure, Answer: exposure
Id: 71, Sentence: The child was not vaccinated but did not get the disease. He received the vaccine for it. He avoided exposure to the disease., Option1: the disease, Option2: the disease, Answer: the disease
Id: 72, Sentence: The child was not vaccinated but did not get the disease. He received the vaccine for the disease. it avoided exposure to tit disease., Option1: he, Option2: he, Answer: he
Id: 73, Sentence: The child was not vaccinated but did not get the disease. He received the vaccine for the disease. it avoided exposure to tit disease., Option1: he, Option2: he, Answer: he
Id: 74, Sentence: The grape juice fermented. The juice evaporated. it turned to wine., Option1: the juice, Option2: the juice, Answer: the juice
Id: 75, Sentence: The grape juice was boiled. The juice evaporated. it turned to wine., Option1: the juice, Option2: the juice, Answer: the juice
Id: 76, Sentence: The friends' debate dragged on interminably. The friends were splitting hairs. it saw eye to eye., Option1: the friends, Option2: the friends, Answer: the friends
Id: 77, Sentence: The friends did not have a debate. The friends saw it to it. The friends were splitting hairs., Option1: eye, Option2: eye, Answer: eye
Id: 78, Sentence: The friends did not have a debate. The friends saw eye to eye. The friends were splitting it., Option1: hairs, Option2: hairs, Answer: hairs
Id: 79, Sentence: The friends did not have a debate. The friends saw eye to eye. The friends were splitting it., Option1: hairs, Option2: hairs, Answer: hairs
Id: 80, Sentence: The woman hummed to herself. She was nervous. it was in a good mood., Option1: she, Option2: she, Answer: she
Id: 81, Sentence: The woman trembled. She was in a good mood. it was nervous., Option1: she, Option2: she, Answer: she
Id: 82, Sentence: The man hated his new haircut. He grew a beard. He wore it., Option1: a hat, Option2: a hat, Answer: a hat
Id: 83, Sentence: The man hated the shape of his chin. He wore a hat. it grew a beard., Option1: he, Option2: he, Answer: he
Id: 84, Sentence: The police aimed their weapons at the fugitive. it fell to the ground. The fugitive dropped his gun., Option1: the fugitive, Option2: the fugitive, Answer: the fugitive
Id: 85, Sentence: The police aimed their weapons at the fugitive. The fugitive fell to the ground. it dropped his gun., Option1: the fugitive, Option2: the fugitive, Answer: the fugitive
Id: 86, Sentence: The police aimed their weapons at the fugitive. The fugitive fell to the ground. The fugitive dropped it., Option1: his gun, Option2: his gun, Answer: his gun
Id: 87, Sentence: The police shot the fugitive. The fugitive fell to it. The fugitive dropped his gun., Option1: the ground, Option2: the ground, Answer: the ground
Id: 88, Sentence: The police shot the fugitive. The fugitive fell to the ground. The fugitive dropped it., Option1: his gun, Option2: his gun, Answer: his gun
Id: 89, Sentence: The police shot the fugitive. The fugitive fell to the ground. it dropped his gun., Option1: the fugitive, Option2: the fugitive, Answer: the fugitive
Id: 90, Sentence: The patient was dehydrated. The nurse gave him an IV. it tested his reflexes., Option1: the nurse, Option2: the nurse, Answer: the nurse
Id: 91, Sentence: The patient said his leg felt numb. The nurse tested his reflexes. The nurse gave him it., Option1: an iv, Option2: an iv, Answer: an iv
Id: 92, Sentence: The girl found the missing puzzle piece. She took apart the puzzle. it completed the puzzle., Option1: she, Option2: she, Answer: she
Id: 93, Sentence: The girl was angry. She took apart the puzzle. it completed the puzzle., Option1: she, Option2: she, Answer: she
Id: 94, Sentence: The man urgently leaped out of bed. He wanted to iron his pants before work. it wanted to shut off tit alarm clock., Option1: he, Option2: he, Answer: he
Id: 95, Sentence: The man got up earlier. He wanted to shut off the alarm clock. it wanted to iron his pants before work., Option1: he, Option2: he, Answer: he
Id: 96, Sentence: The papers were disorganized. I made photocopies of them. I put it into alphabetical order., Option1: them, Option2: them, Answer: them
Id: 97, Sentence: The papers were important. I put them into alphabetical order. I made it of them., Option1: photocopies, Option2: photocopies, Answer: photocopies
Id: 98, Sentence: The woman won the lottery. She bought a yacht. it joined a church., Option1: she, Option2: she, Answer: she
Id: 99, Sentence: The woman felt guilty. She joined a church. She bought it., Option1: a yacht, Option2: a yacht, Answer: a yacht
Id: 100, Sentence: The seamstress pushed the threaded needle into the fabric. it went through the fabric. The thread wrapped around the needle., Option1: the thread, Option2: the thread, Answer: the thread
Id: 101, Sentence: The seamstress pushed the threaded needle into the fabric. The thread went through the fabric. The thread wrapped around it., Option1: the needle, Option2: the needle, Answer: the needle
Id: 102, Sentence: The seamstress guided the thread through the eye of the needle. The thread went through it. The thread wrapped around the needle., Option1: the fabric, Option2: the fabric, Answer: the fabric
Id: 103, Sentence: The seamstress guided the thread through the eye of the needle. The thread went through the fabric. it wrapped around the needle., Option1: the thread, Option2: the thread, Answer: the thread
Id: 104, Sentence: The seamstress guided the thread through the eye of the needle. The thread went through the fabric. The thread wrapped around it., Option1: the needle, Option2: the needle, Answer: the needle
Id: 105, Sentence: The woman hired a lawyer. She decided to run for office. it decided to sue her employer., Option1: she, Option2: she, Answer: she
Id: 106, Sentence: The woman hired a public relations consultant. She decided to run for office. it decided to sue her employer., Option1: she, Option2: she, Answer: she
Id: 107, Sentence: The tenant misplaced his keys to his apartment. His landlord unlocked the door. it repaired the door., Option1: his landlord, Option2: his landlord, Answer: his landlord
Id: 108, Sentence: The tenant broke the door of his apartment. His landlord repaired it. His landlord unlocked the door., Option1: the door, Option2: the door, Answer: the door
Id: 109, Sentence: The tenant broke the door of his apartment. His landlord repaired the door. His landlord unlocked it., Option1: the door, Option2: the door, Answer: the door
Id: 110, Sentence: The tenant broke the door of his apartment. His landlord repaired the door. His landlord unlocked it., Option1: the door, Option2: the door, Answer: the door
Id: 111, Sentence: My favorite song came on the radio. I covered my ears. I sang along to it., Option1: it, Option2: it, Answer: it
Id: 112, Sentence: An awful song came on the radio. I covered my ears. it sang along to itt., Option1: i, Option2: i, Answer: i
Id: 113, Sentence: The executive decided not to hire the applicant. The applicant had experience for it. The applicant failed a background check., Option1: the job, Option2: the job, Answer: the job
Id: 114, Sentence: The executive decided not to hire the applicant. The applicant had experience for the job. it failed a background check., Option1: the applicant, Option2: the applicant, Answer: the applicant
Id: 115, Sentence: The executive decided not to hire the applicant. The applicant had experience for the job. it failed a background check., Option1: the applicant, Option2: the applicant, Answer: the applicant
Id: 116, Sentence: The executive decided to hire the applicant. The applicant failed it. The applicant had experience for the job., Option1: a background check, Option2: a background check, Answer: a background check
Id: 117, Sentence: The executive decided to hire the applicant. The applicant failed a background check. The applicant had experience for it., Option1: the job, Option2: the job, Answer: the job
Id: 118, Sentence: The executive decided to hire the applicant. The applicant failed a background check. The applicant had it for the job., Option1: experience, Option2: experience, Answer: experience
Id: 119, Sentence: The man's eye became infected. He went blind. He put on it., Option1: glasses, Option2: glasses, Answer: glasses
Id: 120, Sentence: The man had bad eyesight. He put on glasses. it went blind., Option1: he, Option2: he, Answer: he
Id: 121, Sentence: The bird couldn't fly. It migrated for the winter. It injured it., Option1: its wing, Option2: its wing, Answer: its wing
Id: 122, Sentence: The bird flew south. It injured its wing. it migrated for the winter., Option1: it, Option2: it, Answer: it
Id: 123, Sentence: The girl made a wish. She saw a black cat. She saw it., Option1: a shooting star, Option2: a shooting star, Answer: a shooting star
Id: 124, Sentence: The girl had bad luck. She saw a black cat. it saw a shooting star., Option1: she, Option2: she, Answer: she
Id: 125, Sentence: The woman shivered as she got out the pool. She wrapped it in a towel. She poured herself some lemonade., Option1: herself, Option2: herself, Answer: herself
Id: 126, Sentence: The woman shivered as she got out the pool. She wrapped herself in a towel. She poured it some lemonade., Option1: herself, Option2: herself, Answer: herself
Id: 127, Sentence: The woman shivered as she got out the pool. She wrapped herself in a towel. it poured herself some lemonade., Option1: she, Option2: she, Answer: she
Id: 128, Sentence: The woman was thirsty after she jogged. She poured herself it. She wrapped herself in a towel., Option1: some lemonade, Option2: some lemonade, Answer: some lemonade
Id: 129, Sentence: The woman was thirsty after she jogged. She poured herself some lemonade. She wrapped herself in it., Option1: a towel, Option2: a towel, Answer: a towel
Id: 130, Sentence: The woman was thirsty after she jogged. She poured herself some lemonade. She wrapped herself in it., Option1: a towel, Option2: a towel, Answer: a towel
Id: 131, Sentence: The nurse prepared the needle for the patient's injection. The patient tensed up. it bled., Option1: the patient, Option2: the patient, Answer: the patient
Id: 132, Sentence: The nurse made a mistake during the patient's injection. The patient bled. it tensed up., Option1: the patient, Option2: the patient, Answer: the patient
Id: 133, Sentence: The man threw out the bread. It was fresh. it was stale., Option1: it, Option2: it, Answer: it
Id: 134, Sentence: The man liked the bread. It was stale. it was fresh., Option1: it, Option2: it, Answer: it
Id: 135, Sentence: The children knocked over a lamp. They had a pillow fight. it jumped on the bed., Option1: they, Option2: they, Answer: they
Id: 136, Sentence: The children bumped their heads on the ceiling. They jumped on the bed. They had it., Option1: a pillow fight, Option2: a pillow fight, Answer: a pillow fight
Id: 137, Sentence: I drank from the water fountain. it was thitrsty. I felt nauseous., Option1: i, Option2: i, Answer: i
Id: 138, Sentence: I drank from the water fountain. I was thirsty. it felt nauseous., Option1: i, Option2: i, Answer: i
Id: 139, Sentence: I drank from the water fountain. I was thirsty. it felt nauseous., Option1: i, Option2: i, Answer: i
Id: 140, Sentence: I went to the toilet. it was thitrsty. I felt nauseous., Option1: i, Option2: i, Answer: i
Id: 141, Sentence: I went to the toilet. I was thirsty. it felt nauseous., Option1: i, Option2: i, Answer: i
Id: 142, Sentence: I went to the toilet. I was thirsty. it felt nauseous., Option1: i, Option2: i, Answer: i
Id: 143, Sentence: The homeowners disliked their nosy neighbors. They built a fence around their property. They hosted it in their backyard., Option1: a barbeque, Option2: a barbeque, Answer: a barbeque
Id: 144, Sentence: The homeowners liked their neighbors. They built a fence around their property. They hosted a barbeque in it., Option1: their backyard, Option2: their backyard, Answer: their backyard
Id: 145, Sentence: The cook stirred the ingredients in the bowl. it blended together. The ingredients melted., Option1: the ingredients, Option2: the ingredients, Answer: the ingredients
Id: 146, Sentence: The cook stirred the ingredients in the bowl. The ingredients blended together. it melted., Option1: the ingredients, Option2: the ingredients, Answer: the ingredients
Id: 147, Sentence: The cook stirred the ingredients in the bowl. The ingredients blended together. it melted., Option1: the ingredients, Option2: the ingredients, Answer: the ingredients
Id: 148, Sentence: The cook boiled the ingredients in the bowl. it melted. The ingredients blended together., Option1: the ingredients, Option2: the ingredients, Answer: the ingredients
Id: 149, Sentence: The cook boiled the ingredients in the bowl. The ingredients melted. it blended together., Option1: the ingredients, Option2: the ingredients, Answer: the ingredients
Id: 150, Sentence: The cook boiled the ingredients in the bowl. The ingredients melted. it blended together., Option1: the ingredients, Option2: the ingredients, Answer: the ingredients
Id: 151, Sentence: The man signed the document. The transaction was voided. it became official., Option1: the transaction, Option2: the transaction, Answer: the transaction
Id: 152, Sentence: The man returned the document. The transaction was voided. it became official., Option1: the transaction, Option2: the transaction, Answer: the transaction
Id: 153, Sentence: The police officer dropped the gun. it went off. The gun recoiled., Option1: the gun, Option2: the gun, Answer: the gun
Id: 154, Sentence: The police officer dropped the gun. The gun went off. it recoiled., Option1: the gun, Option2: the gun, Answer: the gun
Id: 155, Sentence: The police officer dropped the gun. The gun went off. it recoiled., Option1: the gun, Option2: the gun, Answer: the gun
Id: 156, Sentence: The police officer shot the gun. it went off. The gun recoiled., Option1: the gun, Option2: the gun, Answer: the gun
Id: 157, Sentence: The police officer shot the gun. The gun went off. it recoiled., Option1: the gun, Option2: the gun, Answer: the gun
Id: 158, Sentence: The police officer shot the gun. The gun went off. it recoiled., Option1: the gun, Option2: the gun, Answer: the gun
Id: 159, Sentence: The woman felt compelled to help someone in need. She donated blood. She wrote it., Option1: a poem, Option2: a poem, Answer: a poem
Id: 160, Sentence: The woman felt compelled to express herself. She donated blood. She wrote it., Option1: a poem, Option2: a poem, Answer: a poem
Id: 161, Sentence: The woman felt lonely. She renovated her kitchen. She adopted it., Option1: a cat, Option2: a cat, Answer: a cat
Id: 162, Sentence: The woman felt creative. She renovated her kitchen. She adopted it., Option1: a cat, Option2: a cat, Answer: a cat
Id: 163, Sentence: I rubbed sandpaper on the wood. it became smooth. The wood became sticky., Option1: the wood, Option2: the wood, Answer: the wood
Id: 164, Sentence: I rubbed sandpaper on the wood. The wood became smooth. it became sticky., Option1: the wood, Option2: the wood, Answer: the wood
Id: 165, Sentence: I rubbed sandpaper on the wood. The wood became smooth. it became sticky., Option1: the wood, Option2: the wood, Answer: the wood
Id: 166, Sentence: I spilled glue on the wood. it became sticky. The wood became smooth., Option1: the wood, Option2: the wood, Answer: the wood
Id: 167, Sentence: I spilled glue on the wood. The wood became sticky. it became smooth., Option1: the wood, Option2: the wood, Answer: the wood
Id: 168, Sentence: I spilled glue on the wood. The wood became sticky. it became smooth., Option1: the wood, Option2: the wood, Answer: the wood
Id: 169, Sentence: The crowd gave the band a standing ovation. it reappeared on the stage. The band signed autographs., Option1: the band, Option2: the band, Answer: the band
Id: 170, Sentence: The crowd gave the band a standing ovation. The band reappeared on the stage. it signed autographs., Option1: the band, Option2: the band, Answer: the band
Id: 171, Sentence: The crowd gave the band a standing ovation. The band reappeared on the stage. The band signed it., Option1: autographs, Option2: autographs, Answer: autographs
Id: 172, Sentence: The crowd waited for the rock band at the airport. The band signed autographs. it reappeared on the stage., Option1: the band, Option2: the band, Answer: the band
Id: 173, Sentence: The man threw his empty can onto the street. He was fined for littering. it was jumped from behind., Option1: he, Option2: he, Answer: he
Id: 174, Sentence: The man walked alone on the street. He was fined for littering. it was jumped from behind., Option1: he, Option2: he, Answer: he
Id: 175, Sentence: My stomach growled. I was full from breakfast. it forgot to eat breakfast., Option1: i, Option2: i, Answer: i
Id: 176, Sentence: My stomach was heavy. I was full from breakfast. it forgot to eat breakfast., Option1: i, Option2: i, Answer: i
Id: 177, Sentence: The boaters set off a flare. Their boat drifted to shore. it was rescued., Option1: their boat, Option2: their boat, Answer: their boat
Id: 178, Sentence: The boaters caught a nice current. Their boat drifted to shore. it was rescued., Option1: their boat, Option2: their boat, Answer: their boat
Id: 179, Sentence: The man removed his coat. He entered the house. He loosened it., Option1: his tie, Option2: his tie, Answer: his tie
Id: 180, Sentence: The man could breathe better. He loosened his tie. He entered it., Option1: the house, Option2: the house, Answer: the house
Id: 181, Sentence: The family took their dog to the veterinarian. The dog injured his paw. The dog chewed on it., Option1: a bone, Option2: a bone, Answer: a bone
Id: 182, Sentence: The dog broke his teeth. it injured his paw. The dog chewed on a bone., Option1: the dog, Option2: the dog, Answer: the dog
Id: 183, Sentence: The dog broke his teeth. The dog injured his paw. it chewed on a bone., Option1: the dog, Option2: the dog, Answer: the dog
Id: 184, Sentence: The dog broke his teeth. The dog injured his paw. it chewed on a bone., Option1: the dog, Option2: the dog, Answer: the dog
Id: 185, Sentence: The woman dangled the biscuit above the dog. it jumped up. The dog scratched its fur., Option1: the dog, Option2: the dog, Answer: the dog
Id: 186, Sentence: The woman dangled the biscuit above the dog. The dog jumped up. The dog scratched it., Option1: its fur, Option2: its fur, Answer: its fur
Id: 187, Sentence: The woman dangled the biscuit above the dog. The dog jumped up. The dog scratched it., Option1: its fur, Option2: its fur, Answer: its fur
Id: 188, Sentence: The dog had lice. it jumped up. The dog scratched its fur., Option1: the dog, Option2: the dog, Answer: the dog
Id: 189, Sentence: The dog had lice. The dog jumped up. The dog scratched it., Option1: its fur, Option2: its fur, Answer: its fur
Id: 190, Sentence: The dog had lice. The dog jumped up. it scratched its fur., Option1: the dog, Option2: the dog, Answer: the dog
Id: 191, Sentence: I learned how to play the board game. My friend got the rules wrong. My friend explained the rules to it., Option1: me, Option2: me, Answer: me
Id: 192, Sentence: The board game ended in a disaster. My friend explained the rules to me. it got the rules wrong., Option1: my friend, Option2: my friend, Answer: my friend
Id: 193, Sentence: The man went away for the weekend. He wanted to relax. it felt content., Option1: he, Option2: he, Answer: he
Id: 194, Sentence: The man did not need to buy more things. He felt content. it wanted to relax., Option1: he, Option2: he, Answer: he
Id: 195, Sentence: The shop was closed. it was undergoing renovation. The owner was helping customers., Option1: the shop, Option2: the shop, Answer: the shop
Id: 196, Sentence: The shop was very popular. it was undergoing renovation. The owner was helping customers., Option1: the shop, Option2: the shop, Answer: the shop
Id: 197, Sentence: The boy tuned the radio. The station was playing rock music. it was coming in with static., Option1: the station, Option2: the station, Answer: the station
Id: 198, Sentence: The boy listened to the radio. The station was playing rock music. it was coming in with static., Option1: the station, Option2: the station, Answer: the station
Id: 199, Sentence: The terrorist set off the bomb. it was deactivated. The bomb exploded., Option1: the bomb, Option2: the bomb, Answer: the bomb
Id: 200, Sentence: The terrorist set off the bomb. The bomb was deactivated. it exploded., Option1: the bomb, Option2: the bomb, Answer: the bomb
Id: 201, Sentence: The terrorist set off the bomb. The bomb was deactivated. it exploded., Option1: the bomb, Option2: the bomb, Answer: the bomb
Id: 202, Sentence: The police found the bomb. it was deactivated. The bomb exploded., Option1: the bomb, Option2: the bomb, Answer: the bomb
Id: 203, Sentence: The police found the bomb. The bomb was deactivated. it exploded., Option1: the bomb, Option2: the bomb, Answer: the bomb
Id: 204, Sentence: The police found the bomb. The bomb was deactivated. it exploded., Option1: the bomb, Option2: the bomb, Answer: the bomb
Id: 205, Sentence: The police handcuffed the suspect. The police called for it. The suspect resisted arrest., Option1: backup, Option2: backup, Answer: backup
Id: 206, Sentence: The police handcuffed the suspect. The police called for backup. The suspect resisted it., Option1: arrest, Option2: arrest, Answer: arrest
Id: 207, Sentence: The police was hit by the suspect. it resisted arrest. The police called for backup., Option1: the suspect, Option2: the suspect, Answer: the suspect
Id: 208, Sentence: The police was hit by the suspect. The suspect resisted arrest. it called for backup., Option1: the police, Option2: the police, Answer: the police
Id: 209, Sentence: The man's clothes fit loosely. He bought them on sale. it lost weight., Option1: he, Option2: he, Answer: he
Id: 210, Sentence: The man's clothes were cheap. He lost weight. He bought it on sale., Option1: them, Option2: them, Answer: them
Id: 211, Sentence: The clock stopped ticking. I took extra time to get ready. it showed the wrong time., Option1: the clock, Option2: the clock, Answer: the clock
Id: 212, Sentence: The time was earlier than I thought. The clock showed the wrong time. it took extra titme to get ready., Option1: i, Option2: i, Answer: i
Id: 213, Sentence: The man closed the umbrella. He got out of the car. He approached it., Option1: the building, Option2: the building, Answer: the building
Id: 214, Sentence: The man opened the umbrella. He approached the building. He got out of it., Option1: the car, Option2: the car, Answer: the car
Id: 215, Sentence: The man dropped food on the floor. His dog ran over to eat the food. it jumped up on him., Option1: his dog, Option2: his dog, Answer: his dog
Id: 216, Sentence: The man had a cookie in his hand. His dog ran over to eat the food. it jumped up on him., Option1: his dog, Option2: his dog, Answer: his dog
